state,prob,load
t,0.03783414735749256,872907.1537290715
t,0.0013012438537764628,872907.1537290715
t,3.993408503048085e-05,872907.1537290715
t,1.0764802319317233e-06,872907.1537290715
t,2.4968775940055477e-08,872907.1537290715
t,4.844950712325213e-10,872907.1537290715
t,7.550257294375307e-12,872907.1537290715
t,8.859753208856347e-14,872907.1537290715
t,6.483528991463317e-16,872907.1537290715
t,0,872907.1537290715
t,3.9072471648544244e-05,872907.1537290715
c,1.963554523644242e-06,872907.1537290715
c,6.881964802207558e-08,872907.1537290715
c,1.9562672020495553e-09,872907.1537290715
c,4.637050465827741e-11,872907.1537290715
c,9.075830365024018e-13,872907.1537290715
c,1.4095061923180552e-14,872907.1537290715
c,2.4435206462392056e-17,872907.1537290715
c,0,872907.1537290715
c,3.729655473350135e-17,872907.1537290715
c,2.022934239879516e-05,872907.1537290715
c,6.392640298710783e-07,872907.1537290715
c,8.796001843558443e-09,872907.1537290715
c,1.0352753723741337e-10,872907.1537290715
c,1.0149207863019427e-12,872907.1537290715
c,8.042178034628478e-15,872907.1537290715
c,0,872907.1537290715
c,0,872907.1537290715
c,0,872907.1537290715
c,7.291551072825808e-07,872907.1537290715
c,1.0131413821171803e-08,872907.1537290715
c,8.009766547939501e-11,872907.1537290715
c,5.264746971711531e-13,872907.1537290715
c,2.7087707077377843e-15,872907.1537290715
c,0,872907.1537290715
c,0,872907.1537290715
c,0,872907.1537290715
c,1.9017235893458925e-08,872907.1537290715
c,1.511368460938023e-10,872907.1537290715
c,7.476241847825804e-13,872907.1537290715
c,2.5049406993105094e-15,872907.1537290715
c,0,872907.1537290715
c,1.1102230246251565e-16,872907.1537290715
c,1.0321604682062002e-16,872907.1537290715
c,3.9288021100314374e-10,872907.1537290715
c,1.9497381140154424e-12,872907.1537290715
c,6.329572282970375e-15,872907.1537290715
c,2.7538735181131813e-16,872907.1537290715
c,0,872907.1537290715
c,0,872907.1537290715
c,6.361040166824594e-12,872907.1537290715
c,1.9877328949480244e-14,872907.1537290715
c,0,872907.1537290715
c,4.683753385137379e-17,872907.1537290715
c,2.393918396847994e-16,872907.1537290715
c,7.586899858358365e-14,872907.1537290715
