node,scale,throughput,load,collision,lost
0,0.003,46991.146,872907.15,88.888889,0
1,0.003,32738.774,872907.15,94.285714,0
2,0.003,56241.66,872907.15,100,0
3,0.003,79379.725,872907.15,96.078431,0
4,0.003,0,872907.15,100,0
5,0.003,65593.575,872907.15,97.849462,0
6,0.003,61159.829,872907.15,98.181818,0
7,0.003,516.76123,872907.15,91.666667,0
8,0.003,62674.362,872907.15,100,0
9,0.003,79264.347,872907.15,100,0
0,0.003,107273.22,872907.15,93.939394,0
1,0.003,0,872907.15,100,0
2,0.003,32745.565,872907.15,100,0
3,0.003,100062.77,872907.15,100,0
4,0.003,10023.861,872907.15,98.214286,0
5,0.003,24763.424,872907.15,100,0
6,0.003,47942.362,872907.15,100,0
7,0.003,39189.823,872907.15,97.297297,0
8,0.003,31374.188,872907.15,100,0
9,0.003,109370.33,872907.15,100,0
0,0.003,74787.359,872907.15,97.222222,0
1,0.003,0,872907.15,82.758621,0
2,0.003,52514.343,872907.15,98.4375,0
3,0.003,37472.725,872907.15,100,0
4,0.003,10509.951,872907.15,97.727273,0
5,0.003,29258.1,872907.15,100,0
6,0.003,55029.353,872907.15,98.181818,0
7,0.003,38543.666,872907.15,91.428571,0
8,0.003,61479.646,872907.15,97.260274,0
9,0.003,78252.618,872907.15,100,0
0,0.003,35120.572,872907.15,93.939394,0
1,0.003,0,872907.15,100,0
2,0.003,14005.417,872907.15,97.222222,0
3,0.003,39018.458,872907.15,97.916667,0
4,0.003,53117.5,872907.15,96.153846,0
5,0.003,30780.984,872907.15,100,0
6,0.003,106090.92,872907.15,98.360656,0
7,0.003,18023.05,872907.15,97.222222,0
8,0.003,27498.576,872907.15,100,0
9,0.003,117547.01,872907.15,100,0
0,0.003,51023.26,872907.15,96.774194,0
1,0.003,0,872907.15,100,0
2,0.003,26245.353,872907.15,98.4375,0
3,0.003,111717.05,872907.15,100,0
4,0.003,16817.217,872907.15,96,0
5,0.003,34337.108,872907.15,100,0
6,0.003,72180.344,872907.15,96.153846,0
7,0.003,0,872907.15,93.75,0
8,0.003,63963.209,872907.15,98.507463,0
9,0.003,20651.067,872907.15,100,0
0,0.003,17333.479,872907.15,89.655172,0
1,0.003,73745.777,872907.15,94.117647,0
2,0.003,23583.167,872907.15,98.591549,0
3,0.003,20126.756,872907.15,98.245614,0
4,0.003,20765.529,872907.15,100,0
5,0.003,13178.207,872907.15,98.823529,0
6,0.003,67683.45,872907.15,97.916667,0
7,0.003,9619.4851,872907.15,97.142857,0
8,0.003,110740.47,872907.15,98.461538,0
9,0.003,44803.415,872907.15,100,0
0,0.003,22848.987,872907.15,93.939394,0
1,0.003,16100.614,872907.15,91.176471,0
2,0.003,19325.464,872907.15,98.571429,0
3,0.003,25757.292,872907.15,96.226415,0
4,0.003,14024.644,872907.15,96.226415,0
5,0.003,31709.514,872907.15,98.75,0
6,0.003,113183.25,872907.15,98.076923,0
7,0.003,0,872907.15,94.444444,0
8,0.003,180361.01,872907.15,100,0
9,0.003,88605.268,872907.15,100,0
0,0.003,63444.859,872907.15,100,0
1,0.003,0,872907.15,97.142857,0
2,0.003,51671.738,872907.15,98.333333,0
3,0.003,28722.092,872907.15,98,0
4,0.003,22315.677,872907.15,98.076923,0
5,0.003,20615.842,872907.15,100,0
6,0.003,22383.301,872907.15,98.076923,0
7,0.003,71362.12,872907.15,96.666667,0
8,0.003,83117.891,872907.15,100,0
9,0.003,126403.9,872907.15,100,0
0,0.003,968.88499,872907.15,89.473684,0
1,0.003,6167.8338,872907.15,92.307692,0
2,0.003,0,872907.15,98.701299,0
3,0.003,17954.711,872907.15,93.333333,0
4,0.003,68143.933,872907.15,97.777778,0
5,0.003,68394.473,872907.15,100,0
6,0.003,88303.591,872907.15,93.877551,0
7,0.003,51282.642,872907.15,92.105263,0
8,0.003,11996.558,872907.15,100,0
9,0.003,84226.934,872907.15,98.684211,0
0,0.003,45708.362,872907.15,93.181818,0
1,0.003,25551.067,872907.15,97.222222,0
2,0.003,53585.47,872907.15,100,0
3,0.003,52402.509,872907.15,96.666667,0
4,0.003,10765.039,872907.15,94.736842,0
5,0.003,46401.406,872907.15,100,0
6,0.003,88666.267,872907.15,100,0
7,0.003,50970.041,872907.15,100,0
8,0.003,17246.86,872907.15,100,0
9,0.003,29234.242,872907.15,100,0
0,0.003,78302.807,872907.15,90.909091,0
1,0.003,0,872907.15,93.548387,0
2,0.003,12015.162,872907.15,98.75,0
3,0.003,29696.734,872907.15,98,0
4,0.003,58665.243,872907.15,98.214286,0
5,0.003,24878.557,872907.15,100,0
6,0.003,8973.5202,872907.15,96.774194,0
7,0.003,164510.57,872907.15,100,0
8,0.003,42409.469,872907.15,100,0
9,0.003,38347.755,872907.15,100,0
0,0.003,28452.599,872907.15,87.179487,0
1,0.003,-6813.4129,872907.15,87.5,0
2,0.003,160237.52,872907.15,100,0
3,0.003,55681.76,872907.15,95.833333,0
4,0.003,36583.643,872907.15,100,0
5,0.003,6624.9722,872907.15,100,0
6,0.003,16585.575,872907.15,100,0
7,0.003,25805.226,872907.15,96.551724,0
8,0.003,23438.818,872907.15,100,0
9,0.003,62773.985,872907.15,100,0
0,0.003,31849.206,872907.15,94.594595,0
1,0.003,0,872907.15,93.75,0
2,0.003,70161.597,872907.15,100,0
3,0.003,48747.876,872907.15,100,0
4,0.003,7956.8391,872907.15,100,0
5,0.003,71137.498,872907.15,100,0
6,0.003,164656.93,872907.15,100,0
7,0.003,0,872907.15,86.206897,0
8,0.003,22706.358,872907.15,100,0
9,0.003,33941.547,872907.15,100,0
0,0.003,39102.968,872907.15,93.103448,0
1,0.003,23208.569,872907.15,80.555556,0
2,0.003,0,872907.15,97.260274,0
3,0.003,43562.788,872907.15,100,0
4,0.003,7930.024,872907.15,96.363636,0
5,0.003,141790.4,872907.15,100,0
6,0.003,144877.79,872907.15,98.113208,0
7,0.003,60905.626,872907.15,94.285714,0
8,0.003,2640.0699,872907.15,98.611111,0
9,0.003,4247.1756,872907.15,100,0
0,0.003,0,872907.15,94.444444,0
1,0.003,42894.826,872907.15,94.594595,0
2,0.003,16087.501,872907.15,100,0
3,0.003,37856.123,872907.15,98.076923,0
4,0.003,7813.6989,872907.15,96.296296,0
5,0.003,60991.712,872907.15,98.888889,0
6,0.003,76551.934,872907.15,96.078431,0
7,0.003,9627.6549,872907.15,94.444444,0
8,0.003,61055.378,872907.15,98.529412,0
9,0.003,69870.376,872907.15,98.648649,0
0,0.003,26285.548,872907.15,94.444444,0
1,0.003,0,872907.15,93.939394,0
2,0.003,20990.636,872907.15,100,0
3,0.003,24879.304,872907.15,96.226415,0
4,0.003,0,872907.15,95.555556,0
5,0.003,4325.8384,872907.15,100,0
6,0.003,127908.86,872907.15,95.652174,0
7,0.003,16543.727,872907.15,90.909091,0
