scale,throughput,load,collision,lost
0.003,48456.018,872907.15,96.695098,0
0.003,50274.555,872907.15,98.945098,0
0.003,43784.776,872907.15,96.301628,0
0.003,44120.249,872907.15,98.081501,0
0.003,39693.46,872907.15,97.9623,0
0.003,40157.973,872907.15,97.295457,0
0.003,51191.604,872907.15,96.741149,0
0.003,49003.742,872907.15,98.62967,0
0.003,39743.956,872907.15,95.626081,0
0.003,42053.126,872907.15,98.180755,0
0.003,45779.982,872907.15,97.619596,0
0.003,40937.069,872907.15,96.706454,0
0.003,45115.785,872907.15,97.455149,0
0.003,46826.541,872907.15,95.829295,0
0.003,38274.92,872907.15,97.000208,0
0.003,53685.856,872907.15,96.523454,0
0.003,42063.065,872907.15,98.602894,0
0.003,51333.68,872907.15,96.745872,0
0.003,41799.731,872907.15,98.222387,0
0.003,51481.129,872907.15,98.034579,0
0.003,48759.87,872907.15,99.038571,0
0.003,38733.493,872907.15,97.792793,0
0.003,37175.182,872907.15,98.946639,0
0.003,50108.124,872907.15,97.473837,0
0.003,56029.622,872907.15,97.066578,0
0.003,49924.392,872907.15,97.645681,0
0.003,52237.657,872907.15,96.889667,0
0.003,47729.682,872907.15,98.081439,0
0.003,42808.681,872907.15,99.063467,0
0.003,48203.54,872907.15,98.619591,0
0.003,52356.804,872907.15,97.764922,0
0.003,49351.483,872907.15,99.262663,0
0.003,58046.307,872907.15,98.076657,0
0.003,46278.941,872907.15,97.583271,0
0.003,46089.147,872907.15,97.711076,0
0.003,60149.522,872907.15,96.013836,0
0.003,36698.408,872907.15,95.293721,0
0.003,51143.704,872907.15,97.696067,0
0.003,53151.743,872907.15,97.88137,0
0.003,43825.464,872907.15,98.316709,0
0.003,59051.381,872907.15,98.27254,0
0.003,39560.358,872907.15,97.321728,0
0.003,47014.501,872907.15,95.306771,0
0.003,47524.949,872907.15,97.361696,0
0.003,44312.618,872907.15,98.83662,0
0.003,45947.52,872907.15,97.960717,0
0.003,52255.525,872907.15,96.749014,0
0.003,48514.716,872907.15,98.015565,0
0.003,43524.089,872907.15,98.019884,0
0.003,45732.295,872907.15,98.212849,0
0.003,35933.111,872907.15,97.318914,0
0.003,52507.714,872907.15,97.723675,0
0.003,49485.741,872907.15,96.548557,0
0.003,49196.048,872907.15,97.331652,0
0.003,45464.413,872907.15,97.252443,0
0.003,52446.306,872907.15,97.056531,0
0.003,59645.796,872907.15,97.918127,0
0.003,36508.819,872907.15,98.144762,0
0.003,43411.019,872907.15,97.359788,0
0.003,37777.129,872907.15,97.524614,0
0.003,60993.305,872907.15,98.123316,0
0.003,45790.727,872907.15,96.617987,0
0.003,56369.773,872907.15,98.242218,0
0.003,57237.206,872907.15,97.985007,0
0.003,43301.916,872907.15,97.402671,0
0.003,31382.48,872907.15,98.153259,0
0.003,57578.767,872907.15,97.686349,0
0.003,60674.167,872907.15,97.932377,0
0.003,37084.98,872907.15,98.18363,0
0.003,45616.695,872907.15,97.9151,0
0.003,46440.086,872907.15,98.10087,0
0.003,39722.005,872907.15,98.645642,0
0.003,50265.047,872907.15,97.940553,0
0.003,42900.586,872907.15,98.266131,0
0.003,43002.073,872907.15,94.819682,0
0.003,45931.239,872907.15,97.791799,0
0.003,54181.513,872907.15,97.362118,0
0.003,67198.712,872907.15,97.367373,0
0.003,32195.081,872907.15,97.393501,0
0.003,48428.523,872907.15,97.802968,0
0.003,37196.036,872907.15,97.957364,0
0.003,34737.016,872907.15,98.613325,0
0.003,34570.189,872907.15,96.872385,0
0.003,53415.356,872907.15,97.430028,0
0.003,51223.957,872907.15,98.567605,0
0.003,62767.209,872907.15,97.976269,0
0.003,52232.137,872907.15,97.027258,0
0.003,58126.666,872907.15,97.689528,0
0.003,44934.763,872907.15,97.105855,0
0.003,48520.772,872907.15,97.167589,0
0.003,53857.114,872907.15,98.609426,0
0.003,48575.404,872907.15,97.775794,0
0.003,46780.043,872907.15,97.342162,0
0.003,64546.094,872907.15,96.613266,0
0.003,41121.575,872907.15,98.498008,0
0.003,53120.443,872907.15,98.362152,0
0.003,41786.891,872907.15,98.424803,0
0.003,43313.682,872907.15,98.604415,0
0.003,55098.798,872907.15,97.544896,0
0.003,43025.427,872907.15,97.647391,0
0.0033,43882.11,793551.96,96.327591,0
0.0033,39191.453,793551.96,97.048479,0
0.0033,43808.254,793551.96,95.968346,0
0.0033,37051.183,793551.96,98.240328,0
0.0033,45747.041,793551.96,97.850985,0
0.0033,51123.322,793551.96,96.078107,0
0.0033,47511.03,793551.96,96.54937,0
0.0033,50525.211,793551.96,97.580038,0
0.0033,45556.41,793551.96,96.087878,0
0.0033,41519.72,793551.96,98.705785,0
0.0033,55558.621,793551.96,97.193728,0
0.0033,48405.11,793551.96,96.407634,0
0.0033,36890.657,793551.96,98.604466,0
0.0033,49245.586,793551.96,94.570388,0
0.0033,46628.384,793551.96,97.216137,0
0.0033,65329.236,793551.96,94.704973,0
0.0033,58428.65,793551.96,98.000689,0
0.0033,52822.373,793551.96,95.812166,0
0.0033,42722.714,793551.96,98.65282,0
0.0033,42787.45,793551.96,97.591229,0
0.0033,56652.461,793551.96,98.08865,0
0.0033,44516.636,793551.96,98.552889,0
0.0033,38245.888,793551.96,98.401244,0
0.0033,49845.66,793551.96,97.922923,0
0.0033,57699.747,793551.96,97.648252,0
0.0033,52408.663,793551.96,98.303908,0
0.0033,51463.333,793551.96,97.545483,0
0.0033,45844.276,793551.96,97.923747,0
0.0033,51226.962,793551.96,98.582867,0
0.0033,49763.486,793551.96,98.581386,0
0.0033,59789.035,793551.96,98.122692,0
0.0033,42426.353,793551.96,99.074542,0
0.0033,52182.384,793551.96,98.438962,0
0.0033,46740.596,793551.96,96.400159,0
0.0033,57903.067,793551.96,97.14019,0
0.0033,53993.935,793551.96,93.207881,0
0.0033,38616.765,793551.96,95.733211,0
0.0033,57184.476,793551.96,97.768724,0
0.0033,54781.822,793551.96,98.107902,0
0.0033,46045.334,793551.96,97.779152,0
0.0033,60158.106,793551.96,97.275102,0
